混淆的,Searge,Spigot,Mojang,Yarn,Intermediary
km,net/minecraft/src/C_4713_,net/minecraft/core/BaseBlockPosition,net/minecraft/core/Vec3i,net/minecraft/util/math/Vec3i,net/minecraft/class_2382
jh,net/minecraft/src/C_4674_,,net/minecraft/core/BlockMath,net/minecraft/util/math/AffineTransformations,net/minecraft/class_4609
kh$g,net/minecraft/src/C_254591_$C_302020_,net/minecraft/core/RegistrySetBuilder$g,net/minecraft/core/RegistrySetBuilder$PatchedRegistries,net/minecraft/registry/RegistryBuilder$FullPatchesRegistriesPair,net/minecraft/class_7877$class_8993
kr$1,net/minecraft/src/C_313470_$C_313319_,net/minecraft/core/component/DataComponentMap$1,net/minecraft/core/component/DataComponentMap$1,net/minecraft/component/ComponentMap$1,net/minecraft/class_9323$1
kr$a$a,net/minecraft/src/C_313470_$C_313535_$C_313584_,net/minecraft/core/component/DataComponentMap$a$a,net/minecraft/core/component/DataComponentMap$Builder$SimpleMap,net/minecraft/component/ComponentMap$Builder$SimpleComponentMap,net/minecraft/class_9323$class_9324$class_9325
kx$1,net/minecraft/src/C_313445_$C_313692_,net/minecraft/core/component/TypedDataComponent$1,net/minecraft/core/component/TypedDataComponent$1,net/minecraft/component/Component$1,net/minecraft/class_9336$1
ku,net/minecraft/src/C_313543_,net/minecraft/core/component/DataComponentType,net/minecraft/core/component/DataComponentType,net/minecraft/component/ComponentType,net/minecraft/class_9331
kw,net/minecraft/src/C_313555_,net/minecraft/core/component/PatchedDataComponentMap,net/minecraft/core/component/PatchedDataComponentMap,net/minecraft/component/MergedComponentMap,net/minecraft/class_9335
kt,net/minecraft/src/C_313761_,net/minecraft/core/component/DataComponentPredicate,net/minecraft/core/component/DataComponentPredicate,net/minecraft/predicate/ComponentPredicate,net/minecraft/class_9329
ks$c,net/minecraft/src/C_313461_$C_313482_,net/minecraft/core/component/DataComponentPatch$c,net/minecraft/core/component/DataComponentPatch$SplitResult,net/minecraft/component/ComponentChanges$AddedRemovedPair,net/minecraft/class_9326$class_9484
ku$a$a,net/minecraft/src/C_313543_$C_313821_$C_313257_,net/minecraft/core/component/DataComponentType$a$a,net/minecraft/core/component/DataComponentType$Builder$SimpleType,net/minecraft/component/ComponentType$Builder$SimpleDataComponentType,net/minecraft/class_9331$class_9332$class_9333
