owner_obf,混淆的,Searge,Spigot,Mojang,Yarn,Intermediary,kind,type
djp,lC,f_50520_,,PURPLE_SHULKER_BOX,PURPLE_SHULKER_BOX,field_10268,field,public static final Block
djp,lD,f_50521_,,BLUE_SHULKER_BOX,BLUE_SHULKER_BOX,field_10605,field,public static final Block
djp,lE,f_50522_,,BROWN_SHULKER_BOX,BROWN_SHULKER_BOX,field_10373,field,public static final Block
djp,lF,f_50523_,,GREEN_SHULKER_BOX,GREEN_SHULKER_BOX,field_10055,field,public static final Block
djp,lG,f_50524_,,RED_SHULKER_BOX,RED_SHULKER_BOX,field_10068,field,public static final Block
djp,lH,f_50525_,,BLACK_SHULKER_BOX,BLACK_SHULKER_BOX,field_10371,field,public static final Block
djp,lI,f_50526_,,WHITE_GLAZED_TERRACOTTA,WHITE_GLAZED_TERRACOTTA,field_10595,field,public static final Block
djp,lJ,f_50527_,,ORANGE_GLAZED_TERRACOTTA,ORANGE_GLAZED_TERRACOTTA,field_10280,field,public static final Block
djp,lK,f_50528_,,MAGENTA_GLAZED_TERRACOTTA,MAGENTA_GLAZED_TERRACOTTA,field_10538,field,public static final Block
djp,lL,f_50529_,,LIGHT_BLUE_GLAZED_TERRACOTTA,LIGHT_BLUE_GLAZED_TERRACOTTA,field_10345,field,public static final Block
djp,lM,f_50530_,,YELLOW_GLAZED_TERRACOTTA,YELLOW_GLAZED_TERRACOTTA,field_10096,field,public static final Block
djp,lN,f_50531_,,LIME_GLAZED_TERRACOTTA,LIME_GLAZED_TERRACOTTA,field_10046,field,public static final Block
djp,lO,f_50532_,,PINK_GLAZED_TERRACOTTA,PINK_GLAZED_TERRACOTTA,field_10567,field,public static final Block
djp,lP,f_50533_,,GRAY_GLAZED_TERRACOTTA,GRAY_GLAZED_TERRACOTTA,field_10220,field,public static final Block
djp,lQ,f_50534_,,LIGHT_GRAY_GLAZED_TERRACOTTA,LIGHT_GRAY_GLAZED_TERRACOTTA,field_10052,field,public static final Block
djp,lR,f_50535_,,CYAN_GLAZED_TERRACOTTA,CYAN_GLAZED_TERRACOTTA,field_10078,field,public static final Block
djp,lS,f_50536_,,PURPLE_GLAZED_TERRACOTTA,PURPLE_GLAZED_TERRACOTTA,field_10426,field,public static final Block
djp,lT,f_50537_,,BLUE_GLAZED_TERRACOTTA,BLUE_GLAZED_TERRACOTTA,field_10550,field,public static final Block
djp,lU,f_50538_,,BROWN_GLAZED_TERRACOTTA,BROWN_GLAZED_TERRACOTTA,field_10004,field,public static final Block
djp,lV,f_50539_,,GREEN_GLAZED_TERRACOTTA,GREEN_GLAZED_TERRACOTTA,field_10475,field,public static final Block
djp,lW,f_50540_,,RED_GLAZED_TERRACOTTA,RED_GLAZED_TERRACOTTA,field_10383,field,public static final Block
djp,lX,f_50541_,,BLACK_GLAZED_TERRACOTTA,BLACK_GLAZED_TERRACOTTA,field_10501,field,public static final Block
djp,lY,f_50542_,,WHITE_CONCRETE,WHITE_CONCRETE,field_10107,field,public static final Block
djp,lZ,f_50543_,,ORANGE_CONCRETE,ORANGE_CONCRETE,field_10210,field,public static final Block
djp,ma,f_50544_,,MAGENTA_CONCRETE,MAGENTA_CONCRETE,field_10585,field,public static final Block
djp,mb,f_50545_,,LIGHT_BLUE_CONCRETE,LIGHT_BLUE_CONCRETE,field_10242,field,public static final Block
djp,mc,f_50494_,,YELLOW_CONCRETE,YELLOW_CONCRETE,field_10542,field,public static final Block
djp,md,f_50495_,,LIME_CONCRETE,LIME_CONCRETE,field_10421,field,public static final Block
djp,me,f_50496_,,PINK_CONCRETE,PINK_CONCRETE,field_10434,field,public static final Block
djp,mf,f_50497_,,GRAY_CONCRETE,GRAY_CONCRETE,field_10038,field,public static final Block
djp,mg,f_50498_,,LIGHT_GRAY_CONCRETE,LIGHT_GRAY_CONCRETE,field_10172,field,public static final Block
djp,mh,f_50499_,,CYAN_CONCRETE,CYAN_CONCRETE,field_10308,field,public static final Block
djp,mi,f_50500_,,PURPLE_CONCRETE,PURPLE_CONCRETE,field_10206,field,public static final Block
djp,mj,f_50501_,,BLUE_CONCRETE,BLUE_CONCRETE,field_10011,field,public static final Block
djp,mk,f_50502_,,BROWN_CONCRETE,BROWN_CONCRETE,field_10439,field,public static final Block
djp,ml,f_50503_,,GREEN_CONCRETE,GREEN_CONCRETE,field_10367,field,public static final Block
djp,mm,f_50504_,,RED_CONCRETE,RED_CONCRETE,field_10058,field,public static final Block
djp,mn,f_50505_,,BLACK_CONCRETE,BLACK_CONCRETE,field_10458,field,public static final Block
djp,mo,f_50506_,,WHITE_CONCRETE_POWDER,WHITE_CONCRETE_POWDER,field_10197,field,public static final Block
djp,mp,f_50507_,,ORANGE_CONCRETE_POWDER,ORANGE_CONCRETE_POWDER,field_10022,field,public static final Block
djp,mq,f_50508_,,MAGENTA_CONCRETE_POWDER,MAGENTA_CONCRETE_POWDER,field_10300,field,public static final Block
djp,mr,f_50509_,,LIGHT_BLUE_CONCRETE_POWDER,LIGHT_BLUE_CONCRETE_POWDER,field_10321,field,public static final Block
djp,ms,f_50510_,,YELLOW_CONCRETE_POWDER,YELLOW_CONCRETE_POWDER,field_10145,field,public static final Block
djp,mt,f_50511_,,LIME_CONCRETE_POWDER,LIME_CONCRETE_POWDER,field_10133,field,public static final Block
djp,mu,f_50512_,,PINK_CONCRETE_POWDER,PINK_CONCRETE_POWDER,field_10522,field,public static final Block
djp,mv,f_50513_,,GRAY_CONCRETE_POWDER,GRAY_CONCRETE_POWDER,field_10353,field,public static final Block
djp,mw,f_50514_,,LIGHT_GRAY_CONCRETE_POWDER,LIGHT_GRAY_CONCRETE_POWDER,field_10628,field,public static final Block
djp,mx,f_50515_,,CYAN_CONCRETE_POWDER,CYAN_CONCRETE_POWDER,field_10233,field,public static final Block
djp,my,f_50516_,,PURPLE_CONCRETE_POWDER,PURPLE_CONCRETE_POWDER,field_10404,field,public static final Block
djp,mz,f_50517_,,BLUE_CONCRETE_POWDER,BLUE_CONCRETE_POWDER,field_10456,field,public static final Block
djp,mA,f_50518_,,BROWN_CONCRETE_POWDER,BROWN_CONCRETE_POWDER,field_10023,field,public static final Block
djp,mB,f_50519_,,GREEN_CONCRETE_POWDER,GREEN_CONCRETE_POWDER,field_10529,field,public static final Block
djp,mC,f_50573_,,RED_CONCRETE_POWDER,RED_CONCRETE_POWDER,field_10287,field,public static final Block
djp,mD,f_50574_,,BLACK_CONCRETE_POWDER,BLACK_CONCRETE_POWDER,field_10506,field,public static final Block
djp,mE,f_50575_,,KELP,KELP,field_9993,field,public static final Block
djp,mF,f_50576_,,KELP_PLANT,KELP_PLANT,field_10463,field,public static final Block
djp,mG,f_50577_,,DRIED_KELP_BLOCK,DRIED_KELP_BLOCK,field_10342,field,public static final Block
djp,mH,f_50578_,,TURTLE_EGG,TURTLE_EGG,field_10195,field,public static final Block
djp,mI,f_276643_,,SNIFFER_EGG,SNIFFER_EGG,field_43230,field,public static final Block
djp,mJ,f_50579_,,DEAD_TUBE_CORAL_BLOCK,DEAD_TUBE_CORAL_BLOCK,field_10614,field,public static final Block
djp,mK,f_50580_,,DEAD_BRAIN_CORAL_BLOCK,DEAD_BRAIN_CORAL_BLOCK,field_10264,field,public static final Block
djp,mL,f_50581_,,DEAD_BUBBLE_CORAL_BLOCK,DEAD_BUBBLE_CORAL_BLOCK,field_10396,field,public static final Block
djp,mM,f_50582_,,DEAD_FIRE_CORAL_BLOCK,DEAD_FIRE_CORAL_BLOCK,field_10111,field,public static final Block
djp,mN,f_50583_,,DEAD_HORN_CORAL_BLOCK,DEAD_HORN_CORAL_BLOCK,field_10488,field,public static final Block
djp,mO,f_50584_,,TUBE_CORAL_BLOCK,TUBE_CORAL_BLOCK,field_10309,field,public static final Block
djp,mP,f_50585_,,BRAIN_CORAL_BLOCK,BRAIN_CORAL_BLOCK,field_10629,field,public static final Block
djp,mQ,f_50586_,,BUBBLE_CORAL_BLOCK,BUBBLE_CORAL_BLOCK,field_10000,field,public static final Block
djp,mR,f_50587_,,FIRE_CORAL_BLOCK,FIRE_CORAL_BLOCK,field_10516,field,public static final Block
djp,mS,f_50588_,,HORN_CORAL_BLOCK,HORN_CORAL_BLOCK,field_10464,field,public static final Block
djp,mT,f_50589_,,DEAD_TUBE_CORAL,DEAD_TUBE_CORAL,field_10082,field,public static final Block
djp,mU,f_50590_,,DEAD_BRAIN_CORAL,DEAD_BRAIN_CORAL,field_10572,field,public static final Block
djp,mV,f_50591_,,DEAD_BUBBLE_CORAL,DEAD_BUBBLE_CORAL,field_10296,field,public static final Block
djp,mW,f_50592_,,DEAD_FIRE_CORAL,DEAD_FIRE_CORAL,field_10579,field,public static final Block
djp,mX,f_50593_,,DEAD_HORN_CORAL,DEAD_HORN_CORAL,field_10032,field,public static final Block
djp,mY,f_50594_,,TUBE_CORAL,TUBE_CORAL,field_10125,field,public static final Block
djp,mZ,f_50595_,,BRAIN_CORAL,BRAIN_CORAL,field_10339,field,public static final Block
djp,na,f_50596_,,BUBBLE_CORAL,BUBBLE_CORAL,field_10134,field,public static final Block
djp,nb,f_50597_,,FIRE_CORAL,FIRE_CORAL,field_10618,field,public static final Block
djp,nc,f_50598_,,HORN_CORAL,HORN_CORAL,field_10169,field,public static final Block
