owner_obf,混淆的,Searge,Spigot,Mojang,Yarn,Intermediary,kind,signature,descriptor,return_type
jj,a(),func_179722_a(),,,,,method,a(),()Lco;,BlockPosition
jj,b(),func_187017_b(),,,,,method,b(),()[Ljava/lang/String;,String[]
jk,<init>,,,,,,constructor,(),()V,public
jk,<init>,,,,,,constructor,(arg0),(Lrh;)V,public
jk,a(et arg0),func_148837_a(PacketBuffer arg0),,,,,method,a(et arg0),(Let;)V,void
jk,b(et arg0),func_148840_b(PacketBuffer arg0),,,,,method,b(et arg0),(Let;)V,void
jk,a(im arg0),func_148833_a(INetHandlerPlayServer arg0),,,,,method,a(im arg0),(Lim;)V,void
jk,a(),func_187018_a(),,,,,method,a(),()Lrh;,EnumHand
jl,<init>,,,,,,constructor,(),()V,public
jl,<init>,,,,,,constructor,(arg0),(Ljava/util/UUID;)V,public
jl,a(et arg0),func_148837_a(PacketBuffer arg0),,,,,method,a(et arg0),(Let;)V,void
jl,b(et arg0),func_148840_b(PacketBuffer arg0),,,,,method,b(et arg0),(Let;)V,void
jl,a(im arg0),func_148833_a(INetHandlerPlayServer arg0),,,,,method,a(im arg0),(Lim;)V,void
jl,a(lw arg0),func_179727_a(WorldServer arg0),,,,,method,a(lw arg0),(Llw;)Lsm;,Entity
jm,<init>,,,,,,constructor,(),()V,public
jm,<init>,,,,,,constructor,"(arg0, arg1, arg2, arg3, arg4, arg5)",(Lco;Lcv;Lrh;FFF)V,public
jm,a(et arg0),func_148837_a(PacketBuffer arg0),,,,,method,a(et arg0),(Let;)V,void
jm,b(et arg0),func_148840_b(PacketBuffer arg0),,,,,method,b(et arg0),(Let;)V,void
jm,a(im arg0),func_148833_a(INetHandlerPlayServer arg0),,,,,method,a(im arg0),(Lim;)V,void
jm,a(),func_187023_a(),,,,,method,a(),()Lco;,BlockPosition
jm,b(),func_187024_b(),,,,,method,b(),()Lcv;,EnumDirection
jm,c(),func_187022_c(),,,,,method,c(),()Lrh;,EnumHand
jm,d(),func_187026_d(),,,,,method,d(),()F,float
jm,e(),func_187025_e(),,,,,method,e(),()F,float
jm,f(),func_187020_f(),,,,,method,f(),()F,float
jn,<init>,,,,,,constructor,(),()V,public
jn,<init>,,,,,,constructor,(arg0),(Lrh;)V,public
jn,a(et arg0),func_148837_a(PacketBuffer arg0),,,,,method,a(et arg0),(Let;)V,void
jn,b(et arg0),func_148840_b(PacketBuffer arg0),,,,,method,b(et arg0),(Let;)V,void
jn,a(im arg0),func_148833_a(INetHandlerPlayServer arg0),,,,,method,a(im arg0),(Lim;)V,void
jn,a(),func_187028_a(),,,,,method,a(),()Lrh;,EnumHand
jp,<init>,,,,,,constructor,(),()V,public
jp,<init>,,,,,,constructor,"(arg0, arg1, arg2, arg3)",(ILjava/lang/String;ILes;)V,public
jp,a(et arg0),func_148837_a(PacketBuffer arg0),,,,,method,a(et arg0),(Let;)V,void
jp,b(et arg0),func_148840_b(PacketBuffer arg0),,,,,method,b(et arg0),(Let;)V,void
jp,a(jq arg0),func_148833_a(INetHandlerHandshakeServer arg0),,,,,method,a(jq arg0),(Ljq;)V,void
jp,a(),func_149594_c(),,,,,method,a(),()Les;,EnumProtocol
jp,b(),func_149595_d(),,,,,method,b(),()I,int
jq,a(jp arg0),func_147383_a(C00Handshake arg0),,,,,method,a(jp arg0),(Ljp;)V,void
js,a(ju arg0),func_147389_a(SPacketEncryptionRequest arg0),,,,,method,a(ju arg0),(Lju;)V,void
js,a(jt arg0),func_147390_a(SPacketLoginSuccess arg0),,,,,method,a(jt arg0),(Ljt;)V,void
js,a(jw arg0),func_147388_a(SPacketDisconnect arg0),,,,,method,a(jw arg0),(Ljw;)V,void
js,a(jv arg0),func_180464_a(SPacketEnableCompression arg0),,,,,method,a(jv arg0),(Ljv;)V,void
jt,<init>,,,,,,constructor,(),()V,public
jt,<init>,,,,,,constructor,(arg0),(Lcom/mojang/authlib/GameProfile;)V,public
jt,a(et arg0),func_148837_a(PacketBuffer arg0),,,,,method,a(et arg0),(Let;)V,void
jt,b(et arg0),func_148840_b(PacketBuffer arg0),,,,,method,b(et arg0),(Let;)V,void
jt,a(js arg0),func_148833_a(INetHandlerLoginClient arg0),,,,,method,a(js arg0),(Ljs;)V,void
jt,a(),func_179730_a(),,,,,method,a(),()Lcom/mojang/authlib/GameProfile;,com.mojang.authlib.GameProfile
ju,<init>,,,,,,constructor,(),()V,public
ju,<init>,,,,,,constructor,"(arg0, arg1, arg2)",(Ljava/lang/String;Ljava/security/PublicKey;[B)V,public
ju,a(et arg0),func_148837_a(PacketBuffer arg0),,,,,method,a(et arg0),(Let;)V,void
ju,b(et arg0),func_148840_b(PacketBuffer arg0),,,,,method,b(et arg0),(Let;)V,void
ju,a(js arg0),func_148833_a(INetHandlerLoginClient arg0),,,,,method,a(js arg0),(Ljs;)V,void
