混淆的,Searge,Spigot,Mojang,Yarn,Intermediary
adj$c,net/minecraft/entity/monster/EntitySlime$AISlimeHop,net/minecraft/server/v1_12_R1/EntitySlime$PathfinderGoalSlimeIdle,,,
adj$d,net/minecraft/entity/monster/EntitySlime$SlimeMoveHelper,net/minecraft/server/v1_12_R1/EntitySlime$ControllerMoveSlime,,,
adj$e,net/minecraft/entity/monster/EntitySlime$AISlimeFaceRandom,net/minecraft/server/v1_12_R1/EntitySlime$PathfinderGoalSlimeRandomDirection,,,
adj,net/minecraft/entity/monster/EntitySlime,net/minecraft/server/v1_12_R1/EntitySlime,,,
adk$a,net/minecraft/entity/monster/EntitySpellcasterIllager$SpellType,net/minecraft/server/v1_12_R1/EntityIllagerWizard$Spell,,,
adk$b,net/minecraft/entity/monster/EntitySpellcasterIllager$AICastingApell,net/minecraft/server/v1_12_R1/EntityIllagerWizard$b,,,
adk$c,net/minecraft/entity/monster/EntitySpellcasterIllager$AIUseSpell,net/minecraft/server/v1_12_R1/EntityIllagerWizard$c,,,
adk,net/minecraft/entity/monster/EntitySpellcasterIllager,net/minecraft/server/v1_12_R1/EntityIllagerWizard,,,
adl$a,net/minecraft/entity/monster/EntitySpider$AISpiderAttack,net/minecraft/server/v1_12_R1/EntitySpider$PathfinderGoalSpiderMeleeAttack,,,
adl$b,net/minecraft/entity/monster/EntitySpider$GroupData,net/minecraft/server/v1_12_R1/EntitySpider$GroupDataSpider,,,
adl$c,net/minecraft/entity/monster/EntitySpider$AISpiderTarget,net/minecraft/server/v1_12_R1/EntitySpider$PathfinderGoalSpiderNearestAttackableTarget,,,
adl,net/minecraft/entity/monster/EntitySpider,net/minecraft/server/v1_12_R1/EntitySpider,,,
adm,net/minecraft/entity/monster/EntityStray,net/minecraft/server/v1_12_R1/EntitySkeletonStray,,,
adn$a,net/minecraft/entity/monster/EntityVex$AIChargeAttack,net/minecraft/server/v1_12_R1/EntityVex$a,,,
adn$b,net/minecraft/entity/monster/EntityVex$AICopyOwnerTarget,net/minecraft/server/v1_12_R1/EntityVex$b,,,
adn$c,net/minecraft/entity/monster/EntityVex$AIMoveControl,net/minecraft/server/v1_12_R1/EntityVex$c,,,
adn$d,net/minecraft/entity/monster/EntityVex$AIMoveRandom,net/minecraft/server/v1_12_R1/EntityVex$d,,,
adn,net/minecraft/entity/monster/EntityVex,net/minecraft/server/v1_12_R1/EntityVex,,,
ado$1,net/minecraft/entity/monster/EntityVindicator$1,net/minecraft/server/v1_12_R1/EntityVindicator$1,,,
ado$a,net/minecraft/entity/monster/EntityVindicator$AIJohnnyAttack,net/minecraft/server/v1_12_R1/EntityVindicator$a,,,
ado,net/minecraft/entity/monster/EntityVindicator,net/minecraft/server/v1_12_R1/EntityVindicator,,,
adp,net/minecraft/entity/monster/EntityWitch,net/minecraft/server/v1_12_R1/EntityWitch,,,
adq,net/minecraft/entity/monster/EntityWitherSkeleton,net/minecraft/server/v1_12_R1/EntitySkeletonWither,,,
adr$a,net/minecraft/entity/monster/EntityZombie$GroupData,net/minecraft/server/v1_12_R1/EntityZombie$GroupDataZombie,,,
adr,net/minecraft/entity/monster/EntityZombie,net/minecraft/server/v1_12_R1/EntityZombie,,,
ads,net/minecraft/entity/monster/EntityZombieVillager,net/minecraft/server/v1_12_R1/EntityZombieVillager,,,
adv,net/minecraft/entity/INpc,net/minecraft/server/v1_12_R1/NPC,,,
adw$1,net/minecraft/entity/passive/EntityVillager$1,net/minecraft/server/v1_12_R1/EntityVillager$1,,,
adw$a,net/minecraft/entity/passive/EntityVillager$EmeraldForItems,net/minecraft/server/v1_12_R1/EntityVillager$MerchantRecipeOptionBuy,,,
adw$b,net/minecraft/entity/passive/EntityVillager$ListEnchantedBookForEmeralds,net/minecraft/server/v1_12_R1/EntityVillager$MerchantRecipeOptionBook,,,
adw$c,net/minecraft/entity/passive/EntityVillager$ListEnchantedItemForEmeralds,net/minecraft/server/v1_12_R1/EntityVillager$MerchantRecipeOptionEnchant,,,
adw$d,net/minecraft/entity/passive/EntityVillager$ItemAndEmeraldToItem,net/minecraft/server/v1_12_R1/EntityVillager$MerchantRecipeOptionProcess,,,
adw$e,net/minecraft/entity/passive/EntityVillager$ListItemForEmeralds,net/minecraft/server/v1_12_R1/EntityVillager$MerchantRecipeOptionSell,,,
adw$f,net/minecraft/entity/passive/EntityVillager$ITradeList,net/minecraft/server/v1_12_R1/EntityVillager$IMerchantRecipeOption,,,
adw$g,net/minecraft/entity/passive/EntityVillager$PriceInfo,net/minecraft/server/v1_12_R1/EntityVillager$MerchantOptionRandomRange,,,
adw$h,net/minecraft/entity/passive/EntityVillager$TreasureMapForEmeralds,net/minecraft/server/v1_12_R1/EntityVillager$h,,,
adw,net/minecraft/entity/passive/EntityVillager,net/minecraft/server/v1_12_R1/EntityVillager,,,
adz,net/minecraft/entity/player/PlayerCapabilities,net/minecraft/server/v1_12_R1/PlayerAbilities,,,
ae$a,net/minecraft/advancements/critereon/EffectsChangedTrigger$Listeners,net/minecraft/server/v1_12_R1/CriterionTriggerEffectsChanged$a,,,
ae$b,net/minecraft/advancements/critereon/EffectsChangedTrigger$Instance,net/minecraft/server/v1_12_R1/CriterionTriggerEffectsChanged$b,,,
ae,net/minecraft/advancements/critereon/EffectsChangedTrigger,net/minecraft/server/v1_12_R1/CriterionTriggerEffectsChanged,,,
aea$1,net/minecraft/entity/player/InventoryPlayer$1,net/minecraft/server/v1_12_R1/PlayerInventory$1,,,
aea,net/minecraft/entity/player/InventoryPlayer,net/minecraft/server/v1_12_R1/PlayerInventory,,,
aeb$1,net/minecraft/entity/player/EntityPlayer$1,net/minecraft/server/v1_12_R1/EntityHuman$1,,,
aeb$a,net/minecraft/entity/player/EntityPlayer$SleepResult,net/minecraft/server/v1_12_R1/EntityHuman$EnumBedResult,,,
aeb$b,net/minecraft/entity/player/EntityPlayer$EnumChatVisibility,net/minecraft/server/v1_12_R1/EntityHuman$EnumChatVisibility,,,
aeb$c,net/minecraft/entity/player/EntityPlayer$SleepEnemyPredicate,net/minecraft/server/v1_12_R1/EntityHuman$c,,,
aeb,net/minecraft/entity/player/EntityPlayer,net/minecraft/server/v1_12_R1/EntityHuman,,,
aef$1,net/minecraft/entity/projectile/EntityArrow$1,net/minecraft/server/v1_12_R1/EntityArrow$1,,,
aef$a,net/minecraft/entity/projectile/EntityArrow$PickupStatus,net/minecraft/server/v1_12_R1/EntityArrow$PickupStatus,,,
aef,net/minecraft/entity/projectile/EntityArrow,net/minecraft/server/v1_12_R1/EntityArrow,,,
aeg,net/minecraft/entity/projectile/EntityDragonFireball,net/minecraft/server/v1_12_R1/EntityDragonFireball,,,
aeh,net/minecraft/entity/projectile/EntityEvokerFangs,net/minecraft/server/v1_12_R1/EntityEvokerFangs,,,
aei,net/minecraft/entity/item/EntityEnderEye,net/minecraft/server/v1_12_R1/EntityEnderSignal,,,
aej,net/minecraft/entity/projectile/EntityFireball,net/minecraft/server/v1_12_R1/EntityFireball,,,
aek,net/minecraft/entity/item/EntityFireworkRocket,net/minecraft/server/v1_12_R1/EntityFireworks,,,
ael,net/minecraft/entity/projectile/EntityLargeFireball,net/minecraft/server/v1_12_R1/EntityLargeFireball,,,
aem,net/minecraft/entity/projectile/EntityLlamaSpit,net/minecraft/server/v1_12_R1/EntityLlamaSpit,,,
aen,net/minecraft/entity/IProjectile,net/minecraft/server/v1_12_R1/IProjectile,,,
aeo,net/minecraft/entity/projectile/ProjectileHelper,net/minecraft/server/v1_12_R1/ProjectileHelper,,,
aep,net/minecraft/entity/projectile/EntityShulkerBullet,net/minecraft/server/v1_12_R1/EntityShulkerBullet,,,
aeq,net/minecraft/entity/projectile/EntitySmallFireball,net/minecraft/server/v1_12_R1/EntitySmallFireball,,,
aer,net/minecraft/entity/projectile/EntitySnowball,net/minecraft/server/v1_12_R1/EntitySnowball,,,
aes,net/minecraft/entity/projectile/EntitySpectralArrow,net/minecraft/server/v1_12_R1/EntitySpectralArrow,,,
aet,net/minecraft/entity/projectile/EntityThrowable,net/minecraft/server/v1_12_R1/EntityProjectile,,,
aeu,net/minecraft/entity/projectile/EntityEgg,net/minecraft/server/v1_12_R1/EntityEgg,,,
aev,net/minecraft/entity/item/EntityEnderPearl,net/minecraft/server/v1_12_R1/EntityEnderPearl,,,
aew,net/minecraft/entity/item/EntityExpBottle,net/minecraft/server/v1_12_R1/EntityThrownExpBottle,,,
aex$1,net/minecraft/entity/projectile/EntityPotion$1,net/minecraft/server/v1_12_R1/EntityPotion$1,,,
aex,net/minecraft/entity/projectile/EntityPotion,net/minecraft/server/v1_12_R1/EntityPotion,,,
aey,net/minecraft/entity/projectile/EntityTippedArrow,net/minecraft/server/v1_12_R1/EntityTippedArrow,,,
aez,net/minecraft/entity/projectile/EntityWitherSkull,net/minecraft/server/v1_12_R1/EntityWitherSkull,,,
af$a,net/minecraft/advancements/critereon/EnchantedItemTrigger$Listeners,net/minecraft/server/v1_12_R1/CriterionTriggerEnchantedItem$a,,,
af$b,net/minecraft/advancements/critereon/EnchantedItemTrigger$Instance,net/minecraft/server/v1_12_R1/CriterionTriggerEnchantedItem$b,,,
af,net/minecraft/advancements/critereon/EnchantedItemTrigger,net/minecraft/server/v1_12_R1/CriterionTriggerEnchantedItem,,,
