owner_obf,混淆的,Searge,Spigot,Mojang,Yarn,Intermediary,kind,type
evm,n,f_107219_,,hasPhysics,collidesWithWorld,field_3862,field,protected boolean
evm,E,f_107205_,,stoppedByCollision,field_21507,field_21507,field,private boolean
evm,o,f_107220_,,removed,dead,field_3843,field,protected boolean
evm,p,f_107221_,,bbWidth,spacingXZ,field_3849,field,protected float
evm,q,f_107222_,,bbHeight,spacingY,field_3867,field,protected float
evm,r,f_107223_,,random,random,field_3840,field,protected final RandomSource
evm,s,f_107224_,,age,age,field_3866,field,protected int
evm,t,f_107225_,,lifetime,maxAge,field_3847,field,protected int
evm,u,f_107226_,,gravity,gravityStrength,field_3844,field,protected float
evm,v,f_107227_,,rCol,red,field_3861,field,protected float
evm,w,f_107228_,,gCol,green,field_3842,field,protected float
evm,x,f_107229_,,bCol,blue,field_3859,field,protected float
evm,y,f_107230_,,alpha,alpha,field_3841,field,protected float
evm,z,f_107231_,,roll,angle,field_3839,field,protected float
evm,A,f_107204_,,oRoll,prevAngle,field_3857,field,protected float
evm,B,f_172258_,,friction,velocityMultiplier,field_28786,field,protected float
evm,C,f_172259_,,speedUpWhenYMotionIsBlocked,field_28787,field_28787,field,protected boolean
evc$d,a,f_172213_,,SPEED_FACTOR,field_29575,field_29575,field,private final double
evc$d,b,f_172214_,,sprite,spriteProvider,field_29576,field,private final SpriteSet
eup$a,a,f_105876_,,sprites,spriteProvider,field_18290,field,private final SpriteSet
evo$a,a,f_107406_,,sprites,sprites,field_18303,field,private List<TextureAtlasSprite>
eur$a,a,f_106027_,,sprites,spriteProvider,field_17794,field,private final SpriteSet
ewd$a,a,f_234081_,,sprite,spriteProvider,field_37962,field,private final SpriteSet
ewm,E,f_108321_,,sprite,sprite,field_17886,field,protected TextureAtlasSprite
eve,a,f_106903_,,sprites,spriteProvider,field_17815,field,private final SpriteSet
euo$a,a,f_105834_,,sprites,spriteProvider,field_17788,field,private final SpriteSet
evf,a,f_106944_,,life,age_,field_3814,field,private int
evf,b,f_106945_,,lifeTime,maxAge_,field_3813,field,private final int
evc$a,a,f_172148_,,SPEED_FACTOR,field_29570,field_29570,field,private final double
evc$a,b,f_172149_,,sprite,spriteProvider,field_29571,field,private final SpriteSet
eus$e,a,f_171937_,,sprite,spriteProvider,field_28071,field,protected final SpriteSet
evo,b,f_172264_,,MAX_PARTICLES_PER_LAYER,MAX_PARTICLE_COUNT,field_32657,field,private static final int
evo,c,f_107288_,,RENDER_ORDER,PARTICLE_TEXTURE_SHEETS,field_17820,field,private static final List<ParticleRenderType>
evo,a,f_107287_,,level,world,field_3834,field,protected ClientLevel
evo,d,f_107289_,,particles,particles,field_3830,field,"private final Map<ParticleRenderType, Queue<Particle>>"
evo,e,f_107290_,,trackingEmitters,newEmitterParticles,field_3837,field,private final Queue<TrackingEmitter>
evo,f,f_107291_,,textureManager,textureManager,field_3831,field,private final TextureManager
evo,g,f_107292_,,random,random,field_3832,field,private final RandomSource
evo,h,f_107293_,,providers,factories,field_3835,field,private final it.unimi.dsi.fastutil.ints.Int2ObjectMap<ParticleProvider<?>>
evo,i,f_107294_,,particlesToAdd,newParticles,field_3836,field,private final Queue<Particle>
evo,j,f_107295_,,spriteSets,spriteAwareFactories,field_18300,field,"private final Map<ResourceLocation, ParticleEngine$MutableSpriteSet>"
evo,k,f_107296_,,textureAtlas,particleAtlasTexture,field_18301,field,private final TextureAtlas
evo,l,f_172265_,,trackedParticleCounts,groupCounts,field_29072,field,private final it.unimi.dsi.fastutil.objects.Object2IntOpenHashMap<ParticleGroup>
evc$b,a,f_172170_,,sprite,spriteProvider,field_29572,field,private final SpriteSet
eva$d,a,f_106731_,,sprites,spriteProvider,field_17811,field,private final SpriteSet
eva$c,b,f_106700_,,trail,trail,field_3804,field,private boolean
eva$c,F,f_106694_,,flicker,flicker,field_3803,field,private boolean
eva$c,G,f_106695_,,engine,particleManager,field_3798,field,private final ParticleEngine
eva$c,H,f_106696_,,fadeR,field_3801,field_3801,field,private float
eva$c,I,f_106697_,,fadeG,field_3800,field_3800,field,private float
eva$c,J,f_106698_,,fadeB,field_3799,field_3799,field,private float
eva$c,K,f_106699_,,hasFade,field_3802,field_3802,field,private boolean
euz$a,a,f_106632_,,sprite,spriteProvider,field_17809,field,private final SpriteSet
ewr$a,a,f_108462_,,sprite,spriteProvider,field_17890,field,private final SpriteSet
ewc$a,a,f_234034_,,sprites,spriteProvider,field_39196,field,private final SpriteSet
